dvd_num,title
white-499,He-Man Master’s of the Universe Season 1 Disc 5
white-500,He-Man Master’s of the Universe Season 1 Disc 6
white-501,Scooby Doo Mystery Incorporated Season 1 Vol 4
white-502,Scooby Doo Mystery Incorporated Season 1 Vol 5
white-503,Looney Toons ‘KoAeKuuЯ’ Best of Daffy and Porky
white-504,Scooby Doo Mask of the Blue Falcon
white-505,Mulan
white-506,Tom and Jerry ‘Robin and his Merry Mouse’
white-507,Cloud Babies ‘Fly Away Home’
white-508,AeZeHAama 3a CEBePHuЯ BЯmъp.
white-530,Scooby Doo Mystery Inc Season 1 Vol 2
white-531,Scooby Doo Mystery Inc Season 1 Vol 3
white-534,DANGER IN THE DEEP  DISC 2
white-546,My Friend Rabbit – Fishing For the Moon
white-547,"Ed, Edd ‘n’ Eddy – Complete 1st Season Disc 1"
white-548,"Ed, Edd ‘n’ Eddy – Complete 1st Season Disc 2"
white-553,Woody Woodpecker and friends Disc 2
white-554,Woody Woodpecker and friends Disc 3 
white-556,Frankenstein Jr and the Impossibles Disc 2
white-558,The Addams Family Disc 2
white-559,The Addams Family Disc 3
white-560,The Addams Family Disc 4
white-562,Captain Caveman and the Teen Angels Disc 2
white-584,Snack Pack   Kids Favourites
white-588,Franklin Volume 1
white-589,Max and Ruby “Max’s Chocolate Chicken”
white-590,George Shrinks
white-591,Babar Disc 1
white-592,Babar Disc 2
white-593,"Pound Puppies “Puppies, puppies everywhere!”"
white-594,Little Miss Naughty
white-595,Mr Strong
white-596,Scooby Doo Abracadabra-Doo
white-597,Scooby Doo Camp Scare
white-598,Scooby Doo and the Ghoul School
white-599,SPACE JAM
white-600,Sesame Street – Alphabet Pack
white-601,Sesame Street – Numbers Pack
white-602,Sesame Street – Singing Pack
white-603,Little Miss Chatterbox Finds Her Calling
white-604,Bambaloo Volume 4 Disc 1
white-605,Bambaloo Volume 4 Disc 2
white-606,Bambaloo Volume 3 Disc 1
white-607,Bambaloo Volume 3 Disc 2
white-608,Bambaloo Volume 3 Disc 3
white-609,Barbie The Pearl Princess
white-610,Balto
white-611,Cow and Chicken Series 1 Disc 1
white-612,Cow and Chicken Series 1 Disc 2
white-613,Teenage Mutant Ninja Turtles “Rise of the Turtles”
white-614,Tom and Jerry “No Mice Allowed” Disc 1
white-615,Tom and Jerry “No Mice Allowed” Disc 2
white-616,Scooby Doo Mayan Monster Mystery
white-617,The Dolphin “Story of a Dreamer”
white-631,Looney Tunes Collection ‘All Stars’ Vol 1
white-668,Henry The Huggle Monster
white-675,TOM and JERRY Santa’s Little Helpers
white-676,The WILD Thornberry’s  MOVIE
white-677,Shaun the Sheep MOVIE
white-681,A very Nickelodeon Christmas
white-684,"Milly, Molly Animal Friends"
white-685,Spongebob Squarepants
white-686,Spongebob Squarepants
white-688,Tangled
white-705,PAW PATROL ‘Meet Everest’
white-706,DORA and Friends ‘Feel the Music’
white-713,Looney Tunes Season 1 Volume 1
white-715,Looney Tunes Season 1 Volume 3
white-716,Looney Tunes Show Season 1 Volume 1
white-723,WONDER TOONS Volume 1
white-724,Looney  Tunes Collection Best of Tweety and Sylvester Volume 1 
white-734,Tom and Jerry Tricks and Treats
white-736,THE BFG ‘Big Friendly Giant’
white-747,Mickey’s Christmas Carol
white-749,THE MUPPETS TAKE MANHATTEN
white-751,Abc Kids ‘Ready Steady Go’
white-770,Scooby Doo! 13 Spooky Tales For the Love of Snack Disc 1 For the Love of Snack Disc 2
white-776,LITTLE RED RIDING HOOD
white-786,The Bugs Bunny Road Runner Movie
white-787,Shaun the Sheep – Happy Farmers Day
white-788,The Adventures of Ichabod and Mr. Toad
white-789,Fantasia 2000
white-790,The Emperor's New Clothes
white-791,Cartoon Festival Vol. 8 
white-807,Cartoon Network   ‘Halloween’  
white-809,Basil the Great Mouse Detective
white-841,CARTOON FESTIVAL VOL 1
white-847,JUSTICE LEAGUE VOL 1 
white-855,DUCKTALES  Volume 2
white-856,DUCKTALES   Volume 3
white-862,Tale Spin   Vol 1 Disc 2
white-863,Tale Spin   Vol 1 Disc 3
white-865,Dark Wing Duck  Vol 1   Disc 2
white-866,Dark Wing Duck  Vol 1   Disc 3
white-875,Back at the BARNYARD  Disc 2
white-878,House of Mouse and Bonkers
white-879,Albert the 5th Musketeer
white-880,Widget the World Watcher
white-881,Where’s Wally?
white-882,"Mike, Lu & Og"
white-883,Funny Bone and Ned’s Newt
white-884,Around the World with TIMON and PUMBAA
white-885,On Holiday with TIMON and PUMBAA
white-886,Dining Out with TIMON
white-887,Rusty Rivets
white-888,Whale of a Birthday…. SpongeBob Squarepants
white-889,I’m Not Oscar’s friend Anymore
white-890,The 3 Stooges    Vol 1
white-891,Jack and the Beanstalk   Jungle Book
white-892,KRYPTO the SUPERDOG
white-893,Ultimate Retro Cartoon 80 -90 Intro’s part 6   part 9 part 11 part 12
white-894,Barbie Dolphin Magic
white-895,THUNDERCATS         disc 1
white-896,THUNDERCATS          disc 2
white-897,CONAN THE BARBARIAN
white-898,Blinky Bill The Escape and other Wild Tales
white-899,SUPERHERO GIRLS
white-900,MIGHTY  MOUSE        disc 1
white-901,MIGHTY MOUSE         disc 2
white-902,MIGHTY MOUSE         disc 3
white-903,WOODY WOODPECKER plus MIGHTY MOUSE
white-905,DRAGONBALL Z    Season Six     disc 2
white-906,DRAGONBALL Z    Season Six     disc 3
white-907,DRAGONBALL Z    Season Six     disc 4
white-908,DRAGONBALL Z    Season Six     disc 5
white-909,DRAGONBALL Z    Season Six     disc 6
white-910,HONG KONG PHOOEY  Vol 2
white-911,THE PERILS OF PENELOPE PITSTOP vol 1
white-912,Care Bears Making Friends
white-913,IRONMAN      RISE OF TECHNOVORE
white-914,AVENGERS CONFIDENTIAL
white-915,THOR
white-916,Peppa’s  Australian Holiday
white-917,Bananaman  Series One
white-918,Bananaman  Series Two
white-919,Bananaman  Series  Three
white-920,Rio  2
white-921,Epic
white-922,Snoopy and Charlie Brown
white-923,Adventures of Galaxy Rangers Vol 2 disc 5
white-924,Adventures of Galaxy Rangers Vol 2 disc 6
white-925,Adventures of Galaxy Rangers Vol 2 disc 7
white-926,Adventures of Galaxy Rangers Vol 2 disc 8
white-927,Adventures of Sonic the Hedgehog  disc 1
white-928,Adventures of Sonic the Hedgehog  disc 2
white-929,Adventures of Sonic the Hedgehog  disc 3
white-930,Adventures of Sonic the Hedgehog   disc 4
white-931,Adventures of Sonic the Hedgehog   disc 5
white-932,Adventures of Sonic the Hedgehog   disc 6
white-933,Adventures of Sonic the Hedgehog   disc 7
white-934,Camelot
white-935,Cartoon Collection
white-936,Popeye and Friends  Volume 1
white-937,Mr BUMP goes on a trip
white-938,TAZ-MANIA   Disc 1
white-939,TAZ-MANIA   Disc 2
white-940,ANIMANIACS     Disc 1
white-941,ANIMANIACS     Disc 2
white-942,ANIMANIACS     Disc 3
white-943,ANIMANIACS     Disc 4
white-944,ANIMANIACS     Disc 5
white-945,DUCK DODGERS  Disc 1
white-946,DUCK DODGERS  Disc 2
white-947,PINKY and THE BRAIN VOLUME 2 Disc 1
white-948,PINKY and THE BRAIN VOLUME 2 Disc 2
white-949,PINKY and THE BRAIN VOLUME 2 Disc 3
white-950,PINKY and THE BRAIN VOLUME 2 Disc 4
white-951,TINY TOON Adventures  Disc 1
white-952,TINY TOON Adventures  Disc 2
white-953,TINY TOON Adventures  Disc 3
white-954,TINY TOON Adventures  Disc 4
white-955,FREAKAZOID  Disc 1
white-956,FREAKAZOID  Disc 2
white-957,TOON TIME   VOL 1
white-958,GORDON the Garden GNOME
white-959,ALICE IN WONDERLAND
white-960,Pinocchio and Aladdin
white-961,MADELINE
white-962,All Dogs Go To Heaven
white-963,WHERE THE WILD THINGS ARE
white-964,Rock a Doodle
white-965,ANNABELLE’S WISH
white-966,AVENGERS THORS LAST STAND
white-967,SHERLOCK GNOMES
white-968,THE SECRET OF THE HUNCHBACK
white-969,"DISC 1 BLACK BEAUTY, ROBIN HOOD, WIND IN THE WILLOWS"
white-970,"DISC 2 BEAUTY AND THE BEAST, PUSS IN BOOTS, CINDERELLA"
white-971,"DISC 3 HANSEL AND GRETEL, MULAN"
white-972,"DISC 4 THE LITTLE MERMAID, GOLDILOCKS AND THE 3 BEARS"
white-973,"ANIMATED TALES OF HANS CHRISTIAN ANDERSEN, JACK THE FOOL, THE GOLDEN TREASURE, THE OLD STREET LAMP, THE LOVERS"
white-974,EASTER IN BUNNYLAND
white-975,"THE ANIMATED TALES OF HANS CHRISTIAN ANDERSEN, THE SWINEHERD, THE TRAVELLING COMPANION, THE JUMPER, THE SNOWMAN"
white-976,"THE ANIMATED TALES OF HANS CHRISTIAN ANDERSEN, THE GALOSHES OF FORTUNE, THE SAUSAGE PEG SOUP, THE GARDENER AND THE FAMILY"
white-977,"THE ANIMATED TALES OF HANS CHRISTIAN ANDERSEN, IT’S QUITE TRUE,  SHUTEYE, THE BEETLE, THE BOTTLE NECK"
white-978,INSPECTOR GADGET 
white-980,ROB ROY
white-981,Anastasia
white-982,TOM and JERRY CLASSIC COLLECTION vol 1
white-983,Oliver And COMPANY
white-984,THE Underdog SHOW Col 4 Vol 1-13
white-985,THE Underdog SHOW Col 4 Vol 1-14
white-986,THE Underdog SHOW Col 4 Vol 1-15
white-987,The Magic of the Faraway Tree
white-988,Nella THE PRINCESS KNIGHT  ROYAL QUESTS
white-989,RISE OF THE TEENAGE MUTANT NINJA 
white-991,THE MAGIC ROUNDABOUT Dougal’s Darling
white-992,THE MAGIC ROUNDABOUT  The Wishing Tree
white-993,FRANKENSTEIN
white-994,CARTOON CLASSICS  VOL 3
white-995,CARTOON CLASSICS  VOL 4
white-996,PORKY PIG and FRIENDS    VOL 2
white-997,Tom and Jerry the Lost Dragon
white-998,MICKEY’S MAGICAL CHRISTMAS
white-999,DUMBO
green-1,CAT DOG VOLUME 1. Season 1. Disc 1.
green-2,CAT DOG VOLUME 1. Season 1. Disc 2.
green-3,CAT DOG VOLUME 1. Season 1. Disc 3.
green-4,CAT DOG VOLUME 1. Season 1. Disc 4.
green-5,CAT DOG VOLUME 1. Season 2. Disc 1.
green-6,CAT DOG VOLUME 1. Season 2. Disc 2.
green-7,CAT DOG VOLUME 2. Season 2. Disc 3.
green-8,CAT DOG VOLUME 2. Season 2. Disc 4.
green-9,CAT DOG VOLUME 2. Season 3. Disc 1.
green-10,CAT DOG VOLUME 2. Season 3. Disc 2.
green-11,CAT DOG VOLUME 2. Season 3. Disc 3.
green-12,REN & STIMPY VOLUME 1 Season 1 & 2 Disc 1
green-13,Season 1 & 2 Disc 2
green-14,Season 1 & 2 Disc 3
green-15,REN & STIMPY VOLUME 1Season 3 & Half-ish Disc 1.
green-16,Season 3 & Half-ish Disc 2.
green-17,Season 3 & Half-ish Disc 3.
green-18,REN & STIMPY VOLUME 2 Season 5 & Some more of 4 Disc 1
green-19,Season 5 & Some more of 4 Disc 2
green-20,Season 5 & Some more of 4 Disc 3
green-21,REN & STIMPY VOLUME The Lost Episodes Disc 1.
green-22,The Lost Episodes Disc 2.
green-23,The MR MAGOO Show Disc 1
green-24,The MR MAGOO Show Disc 2
green-25,The MR MAGOO Show Disc 3
green-26,The MR MAGOO Show Disc 4
green-27,OVER the GARDEN WALL
green-28,STICK MAN
green-29,BLUEY - Grannies and Other Stories VOL 4
green-32,Adventures on the RED PLANE - a whole wide world to explore
green-34,The Underdog Show Disc 1
green-35,The Underdog Show Disc 2
green-36,The Underdog Show Disc 3
green-37,The Underdog Show Disc 4
green-38,The Underdog Show Disc 1
green-39,The Underdog Show Disc 2
green-40,The Underdog Show Disc 3
green-42,THUNDARR The BARBARIAN Disc 2
green-43,THUNDARR The BARBARIAN Disc 3
green-44,THUNDARR The BARBARIAN Disc 4
green-45,PAC-MAN Disc 1
green-46,PAC-MAN Disc 2
green-47,Wheelie and the Chopper Bunch Disc 1
green-48,Wheelie and the Chopper Bunch Disc 2
green-49,Wheelie and the Chopper Bunch Disc 3
green-50,EARTHWORM JIM Disc 1
green-51,EARTHWORM JIM Disc 2
green-52,EARTHWORM JIM Disc 3
green-53,BLACK DYNAMITE Disc 1
green-54,BLACK DYNAMITE Disc 2
green-55,SWAT KATS THE RADICAL SQUADRON Disc 1
green-56,SWAT KATS THE RADICAL SQUADRON Disc 2
green-57,SWAT KATS THE RADICAL SQUADRON Disc 3
green-58,SWAT KATS THE RADICAL SQUADRON Disc 4
green-59,SWAT KATS THE RADICAL SQUADRON Disc 5
green-60,LOOPY DELOOP Disc 1
green-61,LOOPY DELOOP Disc 2
green-62,JABBERJAW Disc 1
green-63,JABBERJAW Disc 2
green-64,JABBERJAW Disc 3
green-65,JABBERJAW Disc 4
green-66,Shirt Tales Disc 1
green-67,Shirt Tales Disc 2
green-68,Shirt Tales Disc 3
green-69,BUNNICULA Disc 1
green-70,BUNNICULA Disc 2
green-71,ROCKO’S MODERN LIFE Disc 1
green-72,ROCKO’S MODERN LIFE Disc 2
green-73,ROCKO’S MODERN LIFE Disc 3
green-74,ROCKO’S MODERN LIFE Disc 4
green-75,ROCKO’S MODERN LIFE Disc 1
green-76,ROCKO’S MODERN LIFE Disc 2
green-77,ROCKO’S MODERN LIFE Disc 3
green-78,ROCKO’S MODERN LIFE Disc 4
green-79,MAGILLA GORILLA Disc 1
green-80,MAGILLA GORILLA Disc 2
green-81,MAGILLA GORILLA Disc 3
green-82,HONG KONG PHOOEY Disc 1
green-83,HONG KONG PHOOEY Disc 2
green-84,The SCOOBY-DOO! DYNOMUTT HOUR
green-85,The SCOOBY-DOO! DYNOMUTT HOUR
green-86,The SCOOBY-DOO! DYNOMUTT HOUR
green-87,The SCOOBY-DOO! DYNOMUTT HOUR
green-88,JUSTICE LEAGUE Disc 1
green-89,JUSTICE LEAGUE Disc 2
green-90,JUSTICE LEAGUE Disc 3
green-91,JUSTICE LEAGUE Disc 4
green-92,THE HUCKLEBERRY HOUND SHOW Disc 1
green-93,THE HUCKLEBERRY HOUND SHOW Disc 2
green-94,THE HUCKLEBERRY HOUND SHOW Disc 3
green-95,HARVEYTOONS Disc 1
green-96,HARVEYTOONS Disc 2
green-97,HARVEYTOONS Disc 3
green-98,HARVEYTOONS Disc 4
green-99,HARVEYTOON VOL 2  Disc 1
green-100,HARVEYTOONS Disc 2
green-101,HARVEYTOONS Disc 3
green-102,HARVEYTOONS Disc 4
green-103,STREET FIGHTER ALPHA Disc 1
green-104,IRON MAN Disc 1
green-105,IRON MAN Disc 2
green-106,IRON MAN Disc 3
green-107,IRON MAN Disc 4
green-108,25 YEARS Disc 1
green-109,25 YEARS Disc 2
green-110,25 YEARS Disc 3
green-111,FANSHAW & CRUDNUT Disc 1
green-112,IRON MAN Disc 1
green-113,DUCKMAN Disc 1
